Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.4432899320127E-15,2.22044604925031E-16,0.0535613956407754,0,0,0,1.15555347830254,0.00564248772536017,2.24372741155038E-18,1.97880357726367E-17,0.00564248772536017,2.69268368063211E-17,0.00783180183404248,0,0,0,0,0,0,package://probing.SLDASM/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://probing.SLDASM/meshes/base_link.STL,,Base_Link-1,Coordinate System7,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.0184865009322741,-0.000343359104626906,0.0432357285995539,0,0,0,0.453677114064451,0.00111974761655116,-1.14036238802781E-05,0.000249743015977271,0.00174111218973294,-4.79405455261046E-05,0.00193935919000533,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_1.STL,,Assem3-1,Coordinate System1,joint_0,joint_0,revolute,0,0,0.123125000000001,0,0,3.14159265358979,base_link,0,0,1,0,0,0,0,,,,,,,,
link_2,0.110226578424723,0.160664206722181,-0.000129009428064375,0,0,0,0.37323789269095,0.00450455596495982,-0.0027712578992269,2.9447009272517E-06,0.00242327638654173,-8.32445012069226E-07,0.0067317433058405,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_2.STL,,link_1-1,Coordinate System2,joint_1,joint_1,revolute,0.00123241037339006,0.021637191846412,0.136125000000015,1.57079632679489,0,3.14159265358978,link_1,0,0,-1,0,0,0,0,,,,,,,,
link_3,0.199424305800592,-0.0317671482755757,-3.49158137025185E-06,0,0,0,0.194922382097792,0.000107232320455328,0.000224139963386137,6.55556094934452E-10,0.00159885383649833,3.22400825471419E-11,0.00163855555055975,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_3.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_3.STL,,link_2.0-1,Coordinate System3,joint_2,joint_2,revolute,0.22947237383749,0.327631545559013,0,0,0,3.14159265358979,link_2,0,0,1,0,0,0,0,,,,,,,,
link_4,3.3939517862791E-12,-0.00483016019667548,-0.01628641896253,0,0,0,0.114029439170439,5.19266249739107E-05,8.76071092611996E-17,3.74054858580491E-19,0.000441770546285855,3.24840881868156E-12,0.000445393127603073,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_4.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_4.STL,,Assem2-1,Coordinate System4,joint_3,joint_3,revolute,0.349183579958671,-0.0111483422408136,0,1.70990704620979,1.5707963267949,0,link_3,0,0,-1,0,0,0,0,,,,,,,,
link_5,0.00170422253813685,0.0121708195854633,2.13671661919435E-06,0,0,0,0.178059332341806,0.000496310569064642,5.86754065867013E-07,1.64657442019745E-10,0.00050041904139513,-2.28734932540834E-11,6.97959742253894E-05,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_5.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_5.STL,,link-2,Coordinate System5,joint_4,joint_4,revolute,0,-0.00483016106930001,-0.0576421795523657,1.5707963267949,-0.139110719414894,-1.57079632679512,link_4,0,0,-1,0,0,0,0,,,,,,,,
link_6,7.29290900580715E-05,0.00938847551484989,0.0605580801764655,0,0,0,0.385258414727076,0.000452279581941828,7.4175555449854E-05,6.9245088144143E-08,0.00126737361360787,3.03976627255437E-05,0.00158152234846657,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_6.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://probing.SLDASM/meshes/link_6.STL,,link_4-1,Coordinate System6,joint_5,joint_5,revolute,-0.0130538611882093,-0.0583978873411062,0,1.70990704620979,-1.5707963267949,0,link_5,0,0,-1,0,0,0,0,,,,,,,,
right_probing_tip,-0.00927868249613728,0.0176765501989139,0.0065846328553667,0,0,0,0.100934764684884,6.23144617424404E-05,9.80499677551936E-06,-1.33365382795586E-05,8.09809586061155E-05,1.23250232958538E-05,7.32194078360124E-05,0,0,0,0,0,0,package://probing.SLDASM/meshes/right_probing_tip.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://probing.SLDASM/meshes/right_probing_tip.STL,,left_probe_tip-1,Coordinate System10,Axis3,right_probe,prismatic,-0.0855000000000083,0.0126698389272003,0.104848179552274,1.5707963267949,-0.139110719414895,1.57079632679512,link_6,0,0,-1,0,0,0,0,,,,,,,,
left_probing_tip,0.0132739437565697,-0.0161715529032556,0.00702827684848639,0,0,0,0.10155733097556,5.98594757491733E-05,4.20314012499222E-06,1.6142122012769E-05,8.53702708674501E-05,-7.79321809631275E-06,7.39001155826025E-05,0,0,0,0,0,0,package://probing.SLDASM/meshes/left_probing_tip.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://probing.SLDASM/meshes/left_probing_tip.STL,,right_probe_tip-1,Coordinate System11,Axis4,left_probe,prismatic,0.0854999999999997,-0.0223301610728436,0.104848179552275,-1.57079632679493,-0.139110719414895,1.57079632679513,link_6,0,0,-1,0,0,0,0,,,,,,,,
