Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.408253936014947,-0.19391136293197,0.0935980094970902,0,0,0,19.4199616578523,0.152812970901627,-0.00244585357608738,-0.000119211140940003,0.145966230411945,-0.00431024466794356,0.124513110100059,0,0,0,0,0,0,package://rover/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover/meshes/base_link.STL,,Base_Link-1;ROAR_Full_CAD-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-0.00156351768447766,-0.0212429007740652,0.0705868097373353,0,0,0,0.561896234898383,0.0011164394115988,-1.42607017750487E-05,3.5422965149192E-06,0.000877442427744072,-2.73241372439398E-05,0.00121748395579074,0,0,0,0,0,0,package://rover/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover/meshes/Link_1.STL,,Link_1-1,Coordinate System1,Axis1,Joint_1,revolute,-0.36681,-0.39666,0.030332,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link_2,0.145490788315616,0.13568456593099,-0.000326314782897352,0,0,0,0.378308427244251,0.0033644871138459,-0.00313792316956031,-9.54389693919894E-06,0.00388550400978341,-7.40140307337242E-06,0.0067921712516685,0,0,0,0,0,0,package://rover/meshes/Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover/meshes/Link_2.STL,,Link_2-1,Coordinate System2,Axis2,Joint_2,revolute,0.0019782,0.035445,0.15315,1.5708,0,-1.6266,Link_1,0,0,-1,0,0,0,0,,,,,,,,
Link_3,-0.129446058863966,-0.164763451063462,1.44507377175529E-08,0,0,0,0.222267217098964,0.00152291090454073,-0.000770754306463859,-1.24385994593765E-10,0.00114902188501397,-3.72240654350817E-10,0.00165666927240579,0,0,0,0,0,0,package://rover/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover/meshes/Link_3.STL,,Link_3-1,Coordinate System3,Axis3,Joint_3,revolute,0.29426,0.27094,0,3.1416,0,3.1416,Link_2,0,0,-1,0,0,0,0,,,,,,,,
Link_4,-0.00326866821493033,-0.00397867174864486,2.6116484158123E-05,0,0,0,0.109599404146456,9.84588433441717E-05,-1.36524696250178E-05,1.17870690339296E-10,9.30569510400729E-05,-9.66833008249253E-11,5.56848460448466E-05,0,0,0,0,0,0,package://rover/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover/meshes/Link_4.STL,,Link_4-2,Coordinate System4,Axis4,Joint_4,revolute,-0.22572,-0.28721,0,0,0,0,Link_3,0,0,-1,0,0,0,0,,,,,,,,
Link_5,0.0174556429456011,-0.000530743084158458,0.0847629371321953,0,0,0,0.502223999160853,0.000939562495155118,8.76282138631666E-05,-0.000300510511894145,0.00381890421314933,9.13710394959491E-06,0.0034234453404858,0,0,0,0,0,0,package://rover/meshes/Link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover/meshes/Link_5.STL,,Link_5-2,Coordinate System5,Axis5,Joint_5,revolute,-0.039352,-0.047899,0,1.5708,-1.5277,-0.68774,Link_4,0,0,-1,0,0,0,0,,,,,,,,
Link_EE,-0.0508515726208259,0.0436615698042073,-0.0108277485823002,0,0,0,0.187164825921408,0.0001951062890731,2.09908123335092E-05,-1.37415637830115E-06,0.000201530816976243,1.17984737697522E-06,0.000337028680747643,0,0,0,0,0,0,package://rover/meshes/Link_EE.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover/meshes/Link_EE.STL,,Link_6-1,Coordinate System6,Axis6,Joint_EE,prismatic,-0.11942,0.0036311,0.08366,1.5708,0.86133,1.5404,Link_5,0,0,-1,0,0,0,0,,,,,,,,
